FBgn0000008,"	0.952770936"
FBgn0000024,"	0.111184612"
FBgn0000043,"	342.0320872"
FBgn0000053,"	20.41523169"
FBgn0000055,"	0.046521812"
FBgn0000071,"	0.487025243"
FBgn0000079,"	5.563936418"
FBgn0000099,"	0.102823068"
FBgn0000108,"	0.058696515"
FBgn0000137,"	0.176669841"
FBgn0000139,"	25.98100908"
FBgn0000140,"	0.374610405"
FBgn0000158,"	0.308044758"
FBgn0000180,"	1.742747577"
FBgn0000206,"	0.005935921"
FBgn0000241,"	1.421501581"
FBgn0000256,"	0.214956791"
FBgn0000299,"	0.008149409"
FBgn0000303,"	0.07409375"
FBgn0000330,"	1.392117435"
FBgn0000346,"	0.119000073"
FBgn0000351,"	0.338356473"
FBgn0000404,"	3.056106022"
FBgn0000405,"	0.758197954"
FBgn0000414,"	0.081089716"
FBgn0000416,"	37.20934167"
FBgn0000451,"	0.412796112"
FBgn0000455,"	14.18329517"
FBgn0000463,"	11.62332503"
FBgn0000473,"	1.378933242"
FBgn0000479,"	1.001079885"
FBgn0000527,"	0.636409739"
FBgn0000535,"	0.015985576"
FBgn0000536,"	0.315979926"
FBgn0000542,"	0.097817172"
FBgn0000547,"	9.742541535"
FBgn0000557,"	0.066064254"
FBgn0000565,"	0.846655817"
FBgn0000577,"	0.075086993"
FBgn0000591,"	7.212212993"
FBgn0000658,"	0.386090117"
FBgn0000719,"	1.086162155"
FBgn0000723,"	3.26340299"
FBgn0000808,"	0.006034401"
FBgn0000826,"	0.493794063"
FBgn0001075,"	0.021795215"
FBgn0001085,"	0.536699673"
FBgn0001098,"	9.920148776"
FBgn0001104,"	32.3736471"
FBgn0001114,"	0.05378543"
FBgn0001122,"	0.770394507"
FBgn0001128,"	7.618193393"
FBgn0001134,"	0.724706913"
FBgn0001142,"	0.751918815"
FBgn0001145,"	11.13962926"
FBgn0001168,"	25.32107777"
FBgn0001187,"	0.737304406"
FBgn0001189,"	5.478878875"
FBgn0001235,"	0.089287998"
FBgn0001257,"	45.19349175"
FBgn0001258,"	79.23493333"
FBgn0001285,"	0.118654559"
FBgn0001981,"	168.9407202"
FBgn0001983,"	0.38438562"
FBgn0001987,"	1.672352629"
FBgn0001991,"	0.024629248"
FBgn0002023,"	0.124788742"
FBgn0002036,"	1.167044167"
FBgn0002306,"	0.030879364"
FBgn0002354,"	9.57810861"
FBgn0002466,"	0.782567883"
FBgn0002522,"	1.873463022"
FBgn0002526,"	19.94008508"
FBgn0002528,"	9.970083597"
FBgn0002542,"	1.307323532"
FBgn0002543,"	24.51360677"
FBgn0002569,"	8.048191999"
FBgn0002570,"	48.46208942"
FBgn0002571,"	6.369669311"
FBgn0002578,"	15.34973524"
FBgn0002592,"	1.966057379"
FBgn0002609,"	78.66430208"
FBgn0002629,"	2.166339603"
FBgn0002631,"	0.73671521"
FBgn0002633,"	16.7870414"
FBgn0002643,"	1.238241643"
FBgn0002652,"	1.213118498"
FBgn0002715,"	7.548419997"
FBgn0002732,"	805.7874398"
FBgn0002733,"	419.1435783"
FBgn0002735,"	28.14290278"
FBgn0002780,"	55.95862936"
FBgn0002868,"	824.3195629"
FBgn0002869,"	187.5268466"
FBgn0002873,"	0.047362392"
FBgn0002917,"	0.011445077"
FBgn0002924,"	3.098630541"
FBgn0002930,"	0.392584124"
FBgn0002985,"	2.652555047"
FBgn0003016,"	1.220116674"
FBgn0003022,"	8.840771867"
FBgn0003041,"	0.740249547"
FBgn0003062,"	84.17067643"
FBgn0003090,"	1.44598712"
FBgn0003091,"	0.180475789"
FBgn0003116,"	0.759146187"
FBgn0003124,"	6.906399595"
FBgn0003129,"	0.027234437"
FBgn0003130,"	0.033469546"
FBgn0003137,"	0.006030236"
FBgn0003159,"	0.097050207"
FBgn0003165,"	1.671363416"
FBgn0003174,"	0.053402241"
FBgn0003189,"	1.880947838"
FBgn0003218,"	0.145591143"
FBgn0003227,"	0.123096206"
FBgn0003268,"	0.651440414"
FBgn0003285,"	12.56298313"
FBgn0003308,"	0.480949437"
FBgn0003326,"	0.150507411"
FBgn0003353,"	0.375511696"
FBgn0003356,"	52.25467157"
FBgn0003357,"	107.3229425"
FBgn0003358,"	22.059497"
FBgn0003390,"	4.544678727"
FBgn0003401,"	8.252106045"
FBgn0003411,"	0.198415609"
FBgn0003423,"	0.081856675"
FBgn0003429,"	0.040041516"
FBgn0003435,"	0.065594518"
FBgn0003447,"	0.019953191"
FBgn0003448,"	12.48215447"
FBgn0003482,"	0.649663745"
FBgn0003483,"	0.287849385"
FBgn0003495,"	5.144036409"
FBgn0003499,"	0.013153382"
FBgn0003502,"	0.728841566"
FBgn0003517,"	845.943428"
FBgn0003545,"	1.924768774"
FBgn0003701,"	0.247238684"
FBgn0003710,"	0.066735769"
FBgn0003731,"	0.767890979"
FBgn0003733,"	0.021430289"
FBgn0003863,"	110.6985358"
FBgn0003866,"	0.310383198"
FBgn0003867,"	0.884480565"
FBgn0003888,"	179.4237513"
FBgn0003890,"	29.55192788"
FBgn0003892,"	0.07083111"
FBgn0003984,"	1.138801544"
