gene	length	chrom	start	end	tss	scaling_factor
128up	1553	2R	12037298	12038851	12037424	0.000643915003219575
14-3-3epsilon	8019	3R	18242531	18250550	18242847	0.000124703828407532
14-3-3zeta	10010	2R	10099677	10109687	10104349	9.99000999000999e-05
140up	1385	3R	14124163	14125548	14125475	0.000722021660649819
18SrRNA-Psi:CR41602	1974	X	23211192	23213166	-	0.000506585612968592
18SrRNA-Psi:CR45861	1933	X	23280998	23282931	-	0.000517330574236937
18w	5421	2R	20111511	20116932	20111886	0.000184467810367091
26-29-p	2340	3L	13994231	13996571	13994353	0.000427350427350427
28SrRNA-Psi:CR40741	1257	X	23239718	23240975	-	0.000795544948289578
28SrRNA-Psi:CR41609	894	X	23261772	23262666	-	0.00111856823266219
28SrRNA-Psi:CR45853	254	X	23200802	23201056	-	0.00393700787401575
28SrRNA-Psi:CR45855	703	X	23205822	23206525	-	0.00142247510668563
28SrRNA-Psi:CR45859	2688	X	23214452	23217140	-	0.00037202380952381
28SrRNA-Psi:CR45860	356	X	23270802	23271158	-	0.00280898876404494
28SrRNA-Psi:CR45862	2003	X	23278007	23280010	-	0.000499251123315027
2SrRNA-Psi:CR40677	29	X	23205409	23205438	-	0.0344827586206897
2SrRNA-Psi:CR45858	29	X	23214040	23214069	-	0.0344827586206897
2SrRNA:CR45864	29	X	23291700	23291729	-	0.0344827586206897
2mit	33736	3R	13121951	13155687	13132334	2.9641925539483e-05
312	1737	3L	1351116	1352853	1351187	0.000575705238917674
4E-T	6850	4	951542	958392	958030	0.000145985401459854
4EHP	45883	3R	24063077	24108960	24108506	2.17945644356298e-05
5-HT1A	54803	2R	19067155	19121958	19090525	1.82471762494754e-05
5-HT1B	10317	2R	19022325	19032642	19028935	9.69274013763691e-05
5-HT2A	20434	3R	4612870	4633304	4622581	4.89380444357443e-05
5-HT2B	51791	3R	8578205	8629996	8591489	1.93083740418219e-05
5-HT7	48639	3R	30968236	31016875	30971577	2.05596332161434e-05
5.8SrRNA-Psi:CR45854	122	X	23205258	23205380	-	0.00819672131147541
5.8SrRNA-Psi:CR45857	122	X	23213889	23214011	-	0.00819672131147541
5.8SrRNA-Psi:CR45863	122	X	23291549	23291671	-	0.00819672131147541
5.8SrRNA:CR40454	122	X	23280155	23280277	-	0.00819672131147541
5PtaseI	4724	3R	25040427	25045151	25045048	0.000211685012701101
5SrRNA-Psi:CR33356	142	2R	19765021	19765163	-	0.00704225352112676
5SrRNA-Psi:CR33363	143	2R	19762427	19762570	-	0.00699300699300699
5SrRNA-Psi:CR33371	136	2R	19759474	19759610	-	0.00735294117647059
5SrRNA-Psi:CR33416	142	2R	19742876	19743018	-	0.00704225352112676
5SrRNA:CR33353	134	2R	19766144	19766278	-	0.00746268656716418
5SrRNA:CR33354	134	2R	19765775	19765909	-	0.00746268656716418
